Song,Artist,Average_Rank,Max_Rank,First_Week_on_Board,First_Rank_on_Board,Last_Week_on_Board,Last_Rank_on_Board,Weeks_on_Board,track_id,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,tag,year,views,features,lyrics,id
...Baby One More Time,Britney Spears,37.077669902912625,1,1999-01-27,1,2001-01-10,143,103,3MjUtNVVq3C8Fn0MP3zhXa,75,3WNxdumkSMGMJRhEgK80qx,...Baby One More Time (Digital Deluxe Version),1999-01-12,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.759,0.699,0,-5.745,0,0.0307,0.202,1.31e-4,0.443,0.907,92.96,211067,pop,1998,967940,{},"[Intro]
Oh, baby, baby
Oh, baby, baby

[Verse 1]
Oh, baby, baby
How was I supposed to know
That something wasn't right here?
Oh, baby, baby
I shouldn't have let you go
And now you're out of sight, yeah

[Pre-Chorus]
Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

[Chorus]
My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time
[Verse 2]
Oh, baby, baby
The reason I breathe is you (Oh, yeah)
Boy, you got me blinded
Oh, pretty, baby
There's nothing that I wouldn't do
It's not the way I planned it

[Pre-Chorus]
Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

[Chorus]
My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

[Post-Chorus]
Oh, baby, baby (Oh)
Oh, baby, baby (Yeah)

[Bridge]
Oh, baby, baby
How was I supposed to know?
Oh, pretty, baby
I shouldn't have let you go
I must confess that my loneliness is killing me now
Don't you know I still believe
That you will be here and give me a sign
Hit me, baby, one more time
[Chorus]
My loneliness is killing me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

[Outro]
I must confess (My loneliness)
That my loneliness (Is killing me)
Is killing me now (I must confess, I still believe)
Don't you know I still believe (When I'm not with you)
That you will be here (I lose my mind)
And give me a sign
Hit me, baby, one more time",78169
1999,Prince,71.15950920245399,7,1982-11-17,56,2019-12-11,45,163,2H7PHVdQ3mXqEHXcvclTB0,68,3U1ht9EdWEI9nMvaqdQI67,1999,1982-10-27,80s-90s R&B / New Jack Swing / Funk / Dance / Soul,3X4HmijjKdwwLonCrOOEAZ,r&b,new jack swing,0.866,0.73,5,-8.201,1,0.0767,0.137,0,0.0843,0.625,118.523,379267,rock,1982,254603,{},"[Intro: Prince]
Don't worry, I won't hurt you
I only want you to have some fun

[Verse 1: Prince, Lisa, Dez, All]
I was dreamin' when I wrote this
Forgive me if it goes astray
But when I woke up this morning
Could have sworn it was judgement day
The sky was all purple
There were people runnin' everywhere
Tryin' to run from the destruction
You know I didn't even care

[Chorus: Prince and All]
'Cause they say
2000, zero-zero, party over, oops, out of time
So tonight I'm gonna party like it's 1999

[Verse 2: Prince, Lisa, Dez, All]
I was dreamin' when I wrote this
So sue me if I go too fast
But life is just a party
And parties weren't meant to last
War is all around us
My mind says, ""Prepare to fight""
So if I gotta die
I'm gonna listen to my body tonight
Yeah
[Chorus: Prince and All]
They say
2000, zero-zero, party over, oops, out of time
So tonight I'm gonna party like it's 1999
Yeah, yeah, shh

[Verse 3: Prince, Lisa, Dez, All]
Lemme tell ya somethin'
If you didn't come to party
Don't bother knockin' on my door, oh
I got a lion in my pocket
And baby he's ready to roar, yeah, yeah
Everybody's got a bomb
We could all die any day, oh
But before I'll let that happen
I'll dance my life away
Oh

[Chorus: Prince and All]
They say
2000, zero-zero, party over, oops, out of time
(We're runnin' outta time)
So tonight I'm gonna party like it's 1999
So tonight we gonna, we gonna, oh
Say it one more time
2000, zero-zero, party over, oops, out of time
No, no
Tonight I'm gonna party like it's 1999
So tonight we gonna, we gonna, woo
[Bridge: Prince and All]
Alright, 1999
You say it, 1999
Ooh, 1999, oh, 1999
Don't stop, don't stop, say it one more time
2000, zero-zero, party over, oops, out of time
Yeah, yeah
Tonight I'm gonna party like it's 1999
So tonight we're gonna, we're gonna, woo

[Outro: Prince, Lisa, Prince and Lisa, All]
Yeah, 1999
Don'tcha wanna go? (1999)
Don'tcha wanna go? (1999)
We could all die any day (1999)
I don't wanna die
I'd rather dance my life away 1999
Listen to what I'm tryin' to say
Everybody, everybody say, ""Party""
C'mon now, you say, ""Party""
That's right, everybody say ""Party""
Can't run from the revelation, no (Party)
Sing it for your nation y'all, ""Party""
Tell me what you're singin', baby say, ""Party""
Telephone's a-ringin', mama (Party)
C'mon, c'mon, you say, ""Party""
Everybody, two times, ""Party""
Woo, work it down to the ground, say, ""Party""
Ooh, ooh, ooh, ooh (Party)
Come on, oh, take my body, baby (Party)
That's right, c'mon, sing the song (Party)
(Oh) (Party)
That's right (Party)
Got a lion in my pocket mama, say, ""Party""
Oh, and he's ready to roar (Party)
Ah
[Spoken Outro: Lisa]
Mommy, why does everybody have a bomb?
Mommy, why does everybody have a bomb?",2770
24K Magic,Bruno Mars,88.48730964467005,2,2016-12-07,2,2025-01-29,198,197,6b8Be6ljOzmkOmFslEb23P,78,4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,pop,2016,1573750,{},"[Intro]
Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right

[Chorus]
Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Verse 1]
Pop pop, it's show time (Show time)
Show time (Show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (Showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (Whoop, whoop)
Don't look too hard
Might hurt ya'self
Known to give the color red the blues
[Pre-Chorus]
Ooh shit, I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

[Chorus]
Players only, come on
Put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Verse 2]
Second verse for the hustlas (hustlas)
Gangstas (gangstas)
Bad bitches and ya ugly ass friends (Haha)
Can I preach? (Uh oh) Can I preach? (Uh oh)
I gotta show 'em how a pimp get it in
First, take your sip (sip), do your dip (dip)
Spend your money like money ain't shit (Whoop, whoop)
We too fresh
Got to blame it on Jesus
Hashtag blessed
They ain't ready for me
[Pre-Chorus]
I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

[Chorus]
Players only, come on
Put your pinky rings up to the moon
Hey girls
What y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Bridge]
(Wooh)
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Now, now, now
Watch me break it down like (Uh)
24 karat, 24 karat magic
What's that sound?
24 karat, 24 karat magic
Come on now
24 karat, 24 karat magic
Don't fight the feeling
Invite the feeling
[Chorus]
Just put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Put your pinky rings up to the moon
Girls, what y'all trying to do? (Do)
24 karat magic in the air
Head to toe so player
(24 karat)
Uh, look out

[Outro]
(24 karat magic, magic, magic)",2872960
400 Degreez,Juvenile,62.02,9,1998-11-18,36,2000-10-11,198,100,5nXQHx4yYKsZqrm7y4bj03,45,6wpqS71CJr3I0dLguYiZdJ,400 Degreez,1998-01-01,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,0.856,0.472,3,-9.452,1,0.0641,0.14,0,0.123,0.642,96.957,249133,rap,1998,52269,{},"[Intro]
400 Degreez

[Verse 1]
Ya see, me, I eat, sleep, shit and talk rap
Ya seen that '98 Mercedes on TV? I bought that
I had some felony charges, I fought that
Been sent to no return, but still was brought back
Nigga threw some slangs at me wodie, I caught that
And punished them lil' bitches before they could carjack
Now I'm lookin' for they family and partners to war back
If I ain't a Hot Boy, then what do you call that?
Nigga disrespect me, I'ma be in all black
Accompanied by some niggas 'bout killin' and all that
Me, Cory and Rusty getting ducked off
Ride top down so we let the trucks park
In the jeep ridin' four-deep
I'm booted up at these nigga claimin' they know me

[Chorus]
You don't want to fuck with me
[Verse 2]
Bitch, what? I'll bust your ass up
Don't even go there, wodie, 'cause I'm ready to mask up
I heard about the money, that's some nice change
For the right price, I'll bust the right brain
Why must a nigga try? I can't do the right thing
Only God knows what the future might bring
Nigga might be shy, nigga might be triflin'
Nigga might survive if he 'bout that rifling
With somethin' that'll stop a nigga from playin'
Somethin' like a chopper or a grenade in his hand
Boy, look, nigga don't play no games no more
Nigga'll bust ya head if you bang his ho
Attitude adjustments they all need
Don't call in those enforcements, nigga, call me
I bet ya I'll get them niggas off your block
I bet ya I'll show them niggas this boy hot

[Chorus]
You don't want to fuck with me
Hot Boy, hot, hot, Hot Boy, hot, hot
Hot Boy, hot, hot, Hot Boy

[Verse 3]
Alright, stop it, 'cause I done had enough
When it comes to my pockets, I'm ready to bust
Baby, let me get the keys to the Rover truck
Man, let me get this beef shit over, bruh
Ain't no bitches here, I'm from the 'Nolia, bruh
Bust your beef head is what was told to us
How I'ma be runnin' with these killas and backin' down?
How I'ma look in front of my people like a clown?
The G code what we live by and we die by
The book is what we will never abide by
Niggas drive by, gettin' loose
Beefing with each other like the Checker Board and Goose
Up in Compton or the Watts, nigga
Up in New York ya keep' 'em open, watch, nigga
'Fore ya played by a bit' or battalion
All fine young Black females stallions
Give me the keys to ya car and ya medallion
You far away from ya home, you's an alien
[Chorus]
You don't want to fuck with me
You don't want to fuck with me
You don't want to fuck with me
You don't want to fuck with me, with me

[Outro]
400 Degreez
400 Degreez
400 Degreez",24993
8 Letters,Why Don't We,103.75,9,2018-09-12,9,2018-10-03,197,4,4zRZAmBQP8vhNPf9i9opXt,77,2qIbHfs93z6eDwGoAdCkXA,8 Letters,2018-08-31,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,0.607,0.478,1,-5.702,0,0.031,0.649,0,0.0928,0.255,88.979,190027,pop,2018,520383,"{""Why Don\\'t We""}","[Verse 1: Jonah Marais]
You know me the best
You know my worst, see me hurt, but you don't judge
That, right there, is the scariest feeling
Opening and closing up again
I've been hurt so I don't trust
Now here we are, staring at the ceiling

[Pre-Chorus: Zach Herron]
I've said those words before but it was a lie
And you deserve to hear them a thousand times

[Chorus: Jack Avery & Corbyn Besson]
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space
If all it is is eight letters
Why is it so hard to say?
[Verse 2: Daniel Seavey]
Isn't it amazing
How almost every line
On our hands align
When your hand's in mine
It's like I'm whole again
Isn't that a sign?
I should speak my mind

[Pre-Chorus: Zach Herron]
I've said those words before but it was a lie
And you deserve to hear them a thousand times

[Chorus: Jack Avery & Corbyn Besson]
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space
If all it is is eight letters
Why is it so hard to say? (Woah, oh, yeah)

[Bridge: Jack Avery]
When I close my eyes
It's you there in my mind
When I close my eyes
[Chorus: Corbyn Besson & Jack Avery]
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space
If all it is is eight letters
Why is it so hard to say?

[Outro: Corbyn Besson & Jack Avery & Daniel Seavey]
If all it is is eight letters
When I close my eyes
It's you there in my mind  (It's only you)
When I close my eyes
If all it is is eight letters
When I close my eyes
It's you there in my mind (You)
When I close my eyes
If all it is is eight letters",3888124
99 Luftballons,Nena,73.14285714285714,27,1984-03-21,58,1984-06-20,199,14,4ZhPLoMzZwewHLLjV1J15c,73,78hVLZZJhaXgrnfXKc6yxF,Nena,1983-09-23,Permanent Wave CHDB,2foj4ZYVHRGqSd1aMqNPBj,rock,permanent wave,0.575,0.555,4,-7.495,1,0.0453,0.103,1.3e-6,0.111,0.504,95.361,232467,pop,1983,624448,{},"[Songtext zu „99 Luftballons“]

[Strophe 1]
Hast du etwas Zeit für mich?
Dann singe ich ein Lied für dich
Von 99 Luftballons
Auf ihrem Weg zum Horizont
Denkst du vielleicht grad an mich?
Dann singe ich ein Lied für dich
Von 99 Luftballons
Und, dass sowas von sowas kommt

[Strophe 2]
99 Luftballons
Auf ihrem Weg zum Horizont
Hielt man für Ufos aus dem All
Darum schickte ein General
'ne Fliegerstaffel hinterher
Alarm zu geben, wenn's so wär
Dabei war'n dort am Horizont
Nur 99 Luftballons
[Strophe 3]
99 Düsenflieger
Jeder war ein großer Krieger
Hielten sich für Captain Kirk
Es gab ein großes Feuerwerk
Die Nachbarn haben nichts gerafft
Und fühlten sich gleich angemacht
Dabei schoss man am Horizont
Auf 99 Luftballons

[Strophe 4]
99 Kriegsminister
Streichholz und Benzinkanister
Hielten sich für schlaue Leute
Witterten schon fette Beute
Riefen, „Krieg!“, und wollten Macht
Mann, wer hätte das gedacht?
Dass es einmal so weit kommt
Wegen 99 Luftballons

[Bridge]
Wegen 99 Luftballons
99 Luftballons

[Outro]
99 Jahre Krieg
Ließen keinen Platz für Sieger
Kriegsminister gibt's nicht mehr
Und auch keine Düsenflieger
Heute zieh' ich meine Runden
Seh' die Welt in Trümmern liegen
Hab' 'n Luftballon gefunden
Denk' an dich und lass' ihn fliegen",1145735
A Change Is Gonna Come,Leela James,177.6,148,2005-07-20,180,2005-10-05,180,5,3aNxoS85gPgXzaVMQ6N5ui,43,1PI1juIuPm3zq1nIOBJl5S,A Change Is Gonna Come (U.S. Release),2005,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.661,0.311,10,-7.848,1,0.028,0.656,0.134,0.109,0.148,137.407,215040,pop,2005,1964,{},"I was born by the river
In a little tent
Lord, just by the river I've been running ever since
It's been a long, a long time comin'
But I know, I know a change gon' come
Oh, yes it will
It's been too hard living
But I am afraid to die
'Cause I don't know what's out there beyond the sky
There's been times that I thought
I wouldn't last for long
But somehow I think I'm able to carry on
It's been a long, a long time comin'
But I know, I know a change gon' come
Oh, yes it will
And then I go to my mother
(Can you help me)
I said, ""Mother, could you help me please? "" (Help me please)
She said, ""I'd like to, I really would, but I'm just not able""
Then I looked around and I was right back down
Down on my knees
There's been times that I thought I wouldn't last for long
But somehow I think I'm able to carry on
It's been a long, a long time comin'
But I know, a change gon' come
Oh, yes, it will",1027181
A Year Without Rain,Selena Gomez & The Scene,97.43636363636364,4,2010-10-06,4,2012-02-01,168,55,0lYS1tJg3r6ATe9bRPB0Hu,61,6r8008bnpeLNfHdYCKtPK0,A Year Without Rain (International Standard Version),2010-01-01,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.627,0.81,2,-5.296,0,0.0431,0.0125,3.09e-5,0.111,0.409,119.98,234347,pop,2010,97177,{},"[Intro]
Ooh-ooh, ooh-ooh

[Verse 1]
Can you feel me when I think about you?
With every breath I take
Every minute, no matter what I do
My world is an empty place
Like I've been wanderin' the desert for a thousand days (Oh)
Don't know if it's a mirage, but I always see your face, baby

[Chorus]
I'm missin' you so much
Can't help it, I'm in love
A day without you is like a year without rain
I need you by my side
Don't know how I'll survive
A day without you is like a year without rain
Oh-oh
Whoa, whoa
[Verse 2]
The stars are burnin'
I hear your voice in my mind (Voice in my mind)
Can't you hear me callin'?
My heart is yearning like the ocean that's runnin' dry
Catch me, I'm fallin'
It's like the ground is crumblin' underneath my feet
Won't you save me?
There's gonna be a monsoon when you get back to me
Oh, baby

[Chorus]
I'm missin' you so much
Can't help it, I'm in love
A day without you is like a year without rain
I need you by my side (By my side)
Don't know how I'll survive (How I'll survive)
A day without you is like a year without rain
Oh-oh
Whoa, whoa

[Bridge]
So let this drought come to an end
And make this desert flower again
I'm so glad you found me
Stick around me, baby, baby, baby, ooh
It's a world of wonder with you in my life
So hurry, baby, don't waste no more time
And I need you here, I can't explain
But a day without you is like a year without rain
Oh-oh
[Chorus]
I'm missin' you so much (So much)
Can't help it, I'm in love
A day without you is like a year without rain
I need you by my side (By my side)
Don't know how I'll survive
A day without you is like a year without rain
Oh-oh
Whoa, whoa, ooh

[Outro]
Ooh-ooh, ooh-ooh
Ooh (Whoa)",92785
ADHD,Joyner Lucas,100.92307692307692,10,2020-04-08,10,2020-07-01,197,13,5L0X8T8HNaUAIYw1oofg1M,76,3j2L4sg2WK22mSWKkQ62Ml,ADHD,2019-09-12,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.574,0.788,10,-6.778,1,0.0638,0.0156,0,0.37,0.34,83.94,205803,rap,2019,352091,{},"[Intro]
It kinda feels like, I'm dyin’ on the inside
It kinda feels like, I been tryna get by

[Pre-Chorus 1]
And I been this way since day one
I don't need no medication
No, I don't need no drugs
Or maybe I’m different, and maybe my ADHD got me trippin'
And maybe I'm just everything that you missin', yeah

[Chorus]
I feel like I'm dying inside
Why do I seem crazy?
Someone save me (Save me)
You can't blame me (Blame me)
It's my ADHD, yeah

[Verse 1]
My mind racin', I been paranoid
Overthinkin’, maybe that’s a void (Woo, woo)
Don't cut me off like I don’t have a voice
I think I was born different, I ain't really have a choice, yeah (Yeah)
Class in session, you a hour late (Hour late)
Don't play with me, today is not the day (Oh yeah)
Pay attention, I am not deranged
I could tell you what I'm thinkin’, I just don't know how to say it
Maybe I get on your nerves, I mean what I say (Oh yeah)
I been a man of my words, eon wide awake (Yeah, yeah)
Maybe a lil' disturbed, but that's just me
You don't bleed the blood I bleed
I wear my heart on my sleeve, nigga
[Pre-Chorus 1]
And I been this way since day one (And I been this way since day one)
I don't need no medication (I don't need no medication)
No, I don't need no drugs
Or maybe I'm different, and maybe my ADHD got me trippin'
And maybe I'm just everything that you missin', yeah

[Chorus]
I feel like I'm dying inside
Why do I seem crazy?
Someone save me (Save me)
You can't blame me (Blame me)
It's my ADHD, yeah

[Bridge]
It kinda feels like, I'm dying on the inside
It kinda feels like, I been tryna get by

[Verse 2]
Yipee-yipee-yih-yoh-yipee-yah-yah
Staring at the fire, kumbaya
I'ma take you higher, take you higher
I'ma take you higher, take you higher
Too many things on my head (Yeah, yeah), what am I thinkin'?
How come I can't go sleep in my bed? (Oh, yeah)
I hear them talking, everyone stranger
They leave me for dead (Oh, yeah)
'Cause they want me gone (Yeah)
This that shit I be on (Yeah)
Ain't no one to lean on (Yeah)
[Pre-Chorus 2]
And you know I been this way since day one (I been this way since day one)
I don't need no medication (I don't need no medication)
Or maybe I'm on one
Or maybe I'm different, and maybe my ADHD got me trippin'
And maybe I'm just everything that you missin', yeah

[Chorus]
I feel like I'm dying inside (Inside)
Why do I seem crazy? (Crazy, yeah, yeah)
Someone save me (Save me)
You can't blame me (Blame me)
It's my ADHD, yeah

[Outro]
It kinda feels like, I'm dyin' on the inside",4106603
ATLiens,OutKast,91.48484848484848,2,1996-09-11,2,1997-04-23,193,33,2vfvGlqCB7oertO5VLE0sz,67,1IaBCF26OjgYwUCEPaIyC0,ATLiens,1996-08-27,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW,rap,southern hip hop,0.918,0.734,11,-2.832,0,0.269,0.0294,7.9e-6,0.191,0.608,97.044,230693,rap,1996,439050,{},"[Verse 1: Big Boi]
Check it
Well it's the M-I-crooked letter, ain't no one better
And when I'm on the microphone you best to wear your sweater
'Cause I'm cooler than a polar bear's toenails
""Oh hell, there he go again talking that shit""
Bend corners like I was a curve, I struck a nerve
And now you 'bout to see this Southern playa serve
I heard it's not where you're from but where you pay rent
Then I heard it's not what you make but how much you spent
You got me bent like elbows, amongst other things, but I'm not worried
'Cause when we step up in the party; like a mouse, you scurry
So go get your fucking shine box and your sack of nickels
It tickles to see you try to be like Mr. Pickles
Daddy Fat Sax, B-I-G B-O-I
It's that same motherfucka that took them knuckles to your eye
And I try, to warn you not to test but you don't listen
Giving the shout-out to my Uncle Darnell locked up in prison

[Hook: Big Boi & Andre 3000]
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""
[Verse 2: Andre 3000]
Now, my oral illustration be like clitoral stimulation
To the female gender, ain't nothing better
Let me know when it's wet enough to enter
If not I'll wait, because the future of the world depends on
If or if not the child we raise gon' have that nigga syndrome
Or will it know to beat the odds regardless of the skin tone?
Or will it feel that if we tune it, it just might get picked on?
Or will it give a fuck about what others say and get gone?
They alienate-us cause we different keep your hands to the sky
Like Sounds of Blackness when I practice what I preach ain't no lie
I'll be the baker and the maker of the piece of my pie
Now breaker, breaker 10-4 can I get some reply?
Now everybody say

[Hook: Big Boi & Andre 3000]
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""

[Verse 3: Big Boi]
Every day I sit while my nigga be in school
Thinking about the second album at the Dungeon shooting pool
Like E-S to the P-N, cause we adjust to the beat in the zone (zone)
Honey, I'm home but I'm not married
Carried a lot of problems around being frustrated
And now I'm sitting at the end of the month I just made it
Like you made the B team, and like your daddy's wife you making that coffee
You heard the ATLiens, so back the hell up off me
[Verse 4: Andre 3000]
Softly as if I played piano in the dark
Found a way to channel my anger now to embark
The world's a stage and everybody gots to play their part
God works in mysterious ways, so when he starts
The job of speaking through us, we be so sincere with this here
No drugs or alcohol, so I can get the signal clear as day
Put my Glock away, I got a stronger weapon
That never runs out of ammunition, so I'm ready for war, okay

[Hook: Big Boi & Andre 3000]
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""
Now throw your hands in the air
And wave 'em like you just don't care
And if you like fish and grits and all that pimp shit
Everybody let me hear you say, ""O-Yea-yer""",1277
ATTENTION ATTENTION,Shinedown,106.14285714285714,5,2018-05-16,5,2018-06-27,198,7,0XRjftXFxSo0ZEC0ZdSxWQ,56,0dtwIycvTaFNjo44QRwWz7,ATTENTION ATTENTION,2018-05-04,Rock Hard,37i9dQZF1DWWJOmJ7nRx0C,rock,hard rock,0.524,0.975,7,-2.914,1,0.0629,4.43e-4,0.296,0.877,0.58,160.03,230520,rock,2018,33396,{},"[Intro]
(Attention, attention, an emergency has been reported)

[Verse 1]
Attention, attention, get down on the floor
Don't reach for your pockets, don't run for the door
The tension, the tension, it's urgent, it's real
The cameras are rolling, the envelopes sealed

[Refrain]
Attention attention
By the way did I mention

[Verse 2]
The stories I hear are the stories I tell
Like jumpin' over buildings and sneakin' outta hell
Intention, retention, it's all in your head
That pretty little mistress that’s hidin' in your bed

[Refrain]
Attention attention
By the way did I mention
[Chorus]
Nothin' 'bout me is ordinary
My friends all say I'm goin' crazy
I don't hear a word that they say
'Cause the voices in my head are legendary
But I'll never tell 'em where the bodies are buried
Keeps 'em comin' back every day

[Post-Chorus 1]
Oh no, oh no
They're just villains in my mind doin' time
Oh no, oh no
They're just matches burnin' holes in my soul

[Verse 3]
Attention, attention, 'cause this ain't a stunt
The judge is a racist, the jury's corrupt
The shelves are all empty but the seats are all filled
If you're a shiny new penny, I'm a hundred dollar bill

[Refrain]
Attention attention
By the way did I mention

[Chorus]
Nothin' 'bout me is ordinary
My friends all say I'm goin' crazy
I don't hear a word that they say
'Cause the voices in my head are legendary
But I'll never tell 'em where the bodies are buried
Keeps 'em comin' back every day
[Post-Chorus 1]
Oh no, oh no
They're just villains in my mind doin' time
Oh no, oh no
They're just matches burnin' holes in my soul

[Bridge]
Attention, attention (attention)
Attention, attention (attention)
They're just villains in my mind doin' time

[Chorus]
Nothin' 'bout me is ordinary
My friends all say I'm goin' crazy
I don't hear a word that they say
'Cause the voices in my head are legendary
But I'll never tell 'em where the bodies are buried
Keeps 'em comin' back every day

[Post-Chorus 2]
Oh no, oh no
They're just villains in my mind doin' time
Oh no, oh no
They're just matches burnin' holes in my soul
Oh no, oh no
They're just villains in my mind doin' time
Oh no, oh no
They're just matches burnin' holes in my soul
[Outro]
Attention, attention
Attention, attention",3578793
Abriendo Puertas,Gloria Estefan,121.625,67,1995-10-11,67,1996-01-24,191,16,75ltnODzDPQQiralQWDnXm,44,1wXWeF4U9kpTYcBNBa1udG,Abriendo Puertas,1995-08-03,This Is Gloria Estefan,37i9dQZF1DXarsfY89zXC6,latin,latin pop,0.821,0.858,8,-6.04,1,0.0453,0.515,0,0.245,0.967,97.297,232893,pop,1995,541,{},"Como después de la noche, brilla una nueva mañana
Como después de la noche, brilla una nueva mañana

Así también es tu llanto, hay una luz de esperanza
Así también es tu llanto, hay una luz de esperanza

Como después de la lluvia, llega de nuevo la calma
Como después de la lluvia, llega de nuevo la calma

El año nuevo te espera con alegrías en el alma
El año nuevo te espera con alegrías en el alma

Y vamos abriendo puertas, y vamos cerrando heridas
Porque en el año que llega, vamos a vivir la vida
Y vamos abriendo puertas, y vamos cerrando heridas
Pasito a paso en la senda, vamos a hallar la salida

Como al salir de la tierra, vuelve a cantar la cigarra
Como al salir de la tierra, vuelve a cantar la cigarra

Así es el canto que llevan las notas de mi guitarra
Así es el canto que llevan las notas de mi guitarra
Como através de la selva se van abriendo caminos
Como através de la selva se van abriendo caminos

Así también en la vida, se va labrando el destino
Así también en la vida, se va labrando el destino

Y vamos abriendo puertas, y vamos cerrando heridas
Porque en el año que llega vamos a vivir la vida
Y vamos abriendo puertas, y vamos cerrando heridas
Pasito a paso en la senda, vamos a hallar la salida

Abriendo puertas, cerrando heridas
Que en la vida hay tanto por hacer
Deja tu llanto y echa pa'lante con fé

Abriendo puertas, cerrando heridas
Yo te lo digo de corazón que el año nuevo será mucho mejor

Abriendo puertas, cerrando heridas

Abriendo puertas, cerrando heridas
No existen barreras para tí
Si te propones serás felíz, muy felíz

Abriendo puertas, cerrando heridas
Que el fracaso es puro invento
Ya no me vengas con ese cuento, no, no",1030132
Ain't Nobody Worryin',Anthony Hamilton,91.12,19,2005-12-28,19,2006-06-14,152,25,0S5Ho90thU4mAxMW8ZItbq,42,7AnGF7p32IpTeDpbkc8uKJ,Ain't Nobody Worryin',2005-12-13,I Love My Neo-Soul,37i9dQZF1DX44dZ4p5QLf4,r&b,neo soul,0.839,0.488,9,-8.497,0,0.0979,0.0186,3.94e-5,0.116,0.823,156.022,221160,NA,NA,NA,NA,NA,NA
